日期,幣別,即期買入匯率,即期賣出匯率
20211015,CAD,22.61,22.81
20211015,SGD,20.71,20.89
20211015,CHF,30.22,30.47
20211015,JPY,0.2437,0.2477
20211015,ZAR,1.865,1.945
20211015,SEK,3.21,3.31
20211015,NZD,19.67,19.87
20211015,THB,0.8277,0.8677
20211015,EUR,32.35,32.75
20211015,CNY,4.337,4.387
20211014,USD,28.035,28.135
20211014,HKD,3.58,3.64
20211014,GBP,38.29,38.69
20211014,AUD,20.68,20.88
20211014,CAD,22.56,22.76
20211014,SGD,20.75,20.93
20211014,CHF,30.37,30.62
20211014,JPY,0.2457,0.2497
20211014,ZAR,1.864,1.944
20211014,SEK,3.2,3.3
20211014,NZD,19.58,19.78
20211014,THB,0.8313,0.8713
20211014,EUR,32.41,32.81
20211014,CNY,4.34,4.39
20211013,USD,28.08,28.18
20211013,HKD,3.585,3.645
20211013,GBP,38.13,38.53
20211013,AUD,20.57,20.77
20211013,CAD,22.51,22.71
20211013,SGD,20.7,20.88
20211013,CHF,30.13,30.38
20211013,JPY,0.2457,0.2497
20211013,ZAR,1.843,1.923
20211013,SEK,3.16,3.26
20211013,NZD,19.44,19.64
20211013,THB,0.8313,0.8713
20211013,EUR,32.29,32.69
20211013,CNY,4.336,4.386
20211012,USD,28.095,28.195
20211012,HKD,3.586,3.646
20211012,GBP,38.05,38.45
20211012,AUD,20.6,20.8
20211012,CAD,22.46,22.66
20211012,SGD,20.66,20.84
20211012,CHF,30.21,30.46
20211012,JPY,0.2465,0.2505
20211012,ZAR,1.832,1.912
20211012,SEK,3.17,3.27
20211012,NZD,19.46,19.66
20211012,THB,0.8261,0.8661
20211012,EUR,32.33,32.73
20211012,CNY,4.331,4.381
20211008,USD,27.985,28.085
20211008,HKD,3.57,3.63
20211008,GBP,37.92,38.32
20211008,AUD,20.34,20.54
20211008,CAD,22.25,22.45
20211008,SGD,20.55,20.73
20211008,CHF,30.01,30.26
20211008,JPY,0.2484,0.2524
20211008,ZAR,1.835,1.915
20211008,SEK,3.14,3.24
20211008,NZD,19.29,19.49
20211008,THB,0.8126,0.8526
20211008,EUR,32.18,32.58
20211008,CNY,4.318,4.368
20211007,USD,27.895,27.995
20211007,HKD,3.559,3.619
20211007,GBP,37.75,38.15
20211007,AUD,20.28,20.48
20211007,CAD,22.12,22.32
20211007,SGD,20.5,20.68
20211007,CHF,30.01,30.26
20211007,JPY,0.2491,0.2531
20211007,ZAR,1.831,1.911
20211007,SEK,3.14,3.24
20211007,NZD,19.27,19.47
20211007,THB,0.813,0.853
20211007,EUR,32.12,32.52
20211007,CNY,4.308,4.358
20211006,USD,27.91,28.01
20211006,HKD,3.56,3.62
20211006,GBP,37.74,38.14
20211006,AUD,20.12,20.32
20211006,CAD,22.03,22.23
20211006,SGD,20.45,20.63
20211006,CHF,29.91,30.16
20211006,JPY,0.2484,0.2524
20211006,ZAR,1.801,1.881
20211006,SEK,3.13,3.23
20211006,NZD,19.17,19.37
20211006,THB,0.8078,0.8478
20211006,EUR,32.12,32.52
20211006,CNY,4.3,4.35
20211005,USD,27.835,27.935
20211005,HKD,3.552,3.612
20211005,GBP,37.77,38.17
